[ T-SED ]
    title = microdosimetric_spectra_water_photon_PHITS
     mesh =  reg            # mesh type is region-wise
      reg = 1
  se-type =    3            # se-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  7.6752836E-02  # mesh width of e-mesh points
       ne =  180            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.07978E-02  1.16591E-02  1.25893E-02  1.35936E-02
#           1.46780E-02  1.58489E-02  1.71133E-02  1.84785E-02  1.99526E-02
#           2.15443E-02  2.32631E-02  2.51189E-02  2.71227E-02  2.92864E-02
#           3.16228E-02  3.41455E-02  3.68695E-02  3.98107E-02  4.29866E-02
#           4.64159E-02  5.01187E-02  5.41170E-02  5.84341E-02  6.30957E-02
#           6.81292E-02  7.35642E-02  7.94328E-02  8.57696E-02  9.26119E-02
#           1.00000E-01  1.07978E-01  1.16591E-01  1.25893E-01  1.35936E-01
#           1.46780E-01  1.58489E-01  1.71133E-01  1.84785E-01  1.99526E-01
#           2.15443E-01  2.32631E-01  2.51189E-01  2.71227E-01  2.92864E-01
#           3.16228E-01  3.41455E-01  3.68695E-01  3.98107E-01  4.29866E-01
#           4.64159E-01  5.01187E-01  5.41170E-01  5.84341E-01  6.30957E-01
#           6.81292E-01  7.35642E-01  7.94328E-01  8.57696E-01  9.26119E-01
#           1.00000E+00  1.07978E+00  1.16591E+00  1.25893E+00  1.35936E+00
#           1.46780E+00  1.58489E+00  1.71133E+00  1.84785E+00  1.99526E+00
#           2.15443E+00  2.32631E+00  2.51189E+00  2.71227E+00  2.92864E+00
#           3.16228E+00  3.41455E+00  3.68695E+00  3.98107E+00  4.29866E+00
#           4.64159E+00  5.01187E+00  5.41170E+00  5.84341E+00  6.30957E+00
#           6.81292E+00  7.35642E+00  7.94328E+00  8.57696E+00  9.26119E+00
#           1.00000E+01  1.07978E+01  1.16591E+01  1.25893E+01  1.35936E+01
#           1.46780E+01  1.58489E+01  1.71133E+01  1.84785E+01  1.99526E+01
#           2.15443E+01  2.32631E+01  2.51189E+01  2.71227E+01  2.92864E+01
#           3.16228E+01  3.41455E+01  3.68695E+01  3.98107E+01  4.29866E+01
#           4.64159E+01  5.01187E+01  5.41170E+01  5.84341E+01  6.30957E+01
#           6.81292E+01  7.35642E+01  7.94328E+01  8.57696E+01  9.26119E+01
#           1.00000E+02  1.07978E+02  1.16591E+02  1.25893E+02  1.35936E+02
#           1.46780E+02  1.58489E+02  1.71133E+02  1.84785E+02  1.99526E+02
#           2.15443E+02  2.32631E+02  2.51189E+02  2.71227E+02  2.92864E+02
#           3.16228E+02  3.41455E+02  3.68695E+02  3.98107E+02  4.29866E+02
#           4.64159E+02  5.01187E+02  5.41170E+02  5.84341E+02  6.30957E+02
#           6.81292E+02  7.35642E+02  7.94328E+02  8.57696E+02  9.26119E+02
#           1.00000E+03  1.07978E+03  1.16591E+03  1.25893E+03  1.35936E+03
#           1.46780E+03  1.58489E+03  1.71133E+03  1.84785E+03  1.99526E+03
#           2.15443E+03  2.32631E+03  2.51189E+03  2.71227E+03  2.92864E+03
#           3.16228E+03  3.41455E+03  3.68695E+03  3.98107E+03  4.29866E+03
#           4.64159E+03  5.01187E+03  5.41170E+03  5.84341E+03  6.30957E+03
#           6.81292E+03  7.35642E+03  7.94328E+03  8.57696E+03  9.26119E+03
#           1.00000E+04
  se-unit =    2            # se-unit is [keV/um]
     unit =    8            # unit is z*d(z) [Gy]
    model =    1            # (D=0) Model type 0:old, 1:new
    cdiam = -1.000000       # (D=1.0) diameter of target sphere [um]
   letmat =   -5            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
 material =  all            # (D=all) number of specific material
     axis =  sed            # axis of output
     file = ydy_PMMA.out    # file name of output for the above axis
     part =  all      
# kf/name :  0        
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         183 (  0)           0 (  0)         183 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: y [keV/um]  
y: y*d(y) [keV/um]               
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n  
   1.9953E+00   2.1544E+00   1.7335E-01  0.0020
   2.1544E+00   2.3263E+00   2.0810E-01  0.0020
   2.3263E+00   2.5119E+00   2.4839E-01  0.0020
   2.5119E+00   2.7123E+00   2.9447E-01  0.0020
   2.7123E+00   2.9286E+00   3.4629E-01  0.0020
   2.9286E+00   3.1623E+00   4.0339E-01  0.0019
   3.1623E+00   3.4145E+00   4.6469E-01  0.0019
   3.4145E+00   3.6869E+00   5.2840E-01  0.0019
   3.6869E+00   3.9811E+00   5.9186E-01  0.0019
   3.9811E+00   4.2987E+00   6.5161E-01  0.0019
   4.2987E+00   4.6416E+00   7.0353E-01  0.0019
   4.6416E+00   5.0119E+00   7.4325E-01  0.0019
   5.0119E+00   5.4117E+00   7.6670E-01  0.0019
   5.4117E+00   5.8434E+00   7.7084E-01  0.0019
   5.8434E+00   6.3096E+00   7.5417E-01  0.0019
   6.3096E+00   6.8129E+00   7.1722E-01  0.0020
   6.8129E+00   7.3564E+00   6.6247E-01  0.0020
   7.3564E+00   7.9433E+00   5.9407E-01  0.0020
   7.9433E+00   8.5770E+00   5.1722E-01  0.0020
   8.5770E+00   9.2612E+00   4.3737E-01  0.0021
   9.2612E+00   1.0000E+01   3.5960E-01  0.0022
   1.0000E+01   1.0798E+01   2.8799E-01  0.0023
   1.0798E+01   1.1659E+01   2.2532E-01  0.0026
   1.1659E+01   1.2589E+01   1.7300E-01  0.0030
   1.2589E+01   1.3594E+01   1.3118E-01  0.0036
   1.3594E+01   1.4678E+01   9.9013E-02  0.0044
   1.4678E+01   1.5849E+01   7.5038E-02  0.0057
   1.5849E+01   1.7113E+01   5.7539E-02  0.0073
   1.7113E+01   1.8478E+01   4.4860E-02  0.0093
   1.8478E+01   1.9953E+01   3.5587E-02  0.0119
   1.9953E+01   2.1544E+01   2.8619E-02  0.0150
   2.1544E+01   2.3263E+01   2.3160E-02  0.0186
   2.3263E+01   2.5119E+01   1.8700E-02  0.0228
   2.5119E+01   2.7123E+01   1.4984E-02  0.0279
   2.7123E+01   2.9286E+01   1.1929E-02  0.0344
   2.9286E+01   3.1623E+01   9.5052E-03  0.0430
   3.1623E+01   3.4145E+01   7.6538E-03  0.0535
   3.4145E+01   3.6869E+01   6.2608E-03  0.0656
   3.6869E+01   3.9811E+01   5.1853E-03  0.0787
   3.9811E+01   4.2987E+01   4.3495E-03  0.0935
   4.2987E+01   4.6416E+01   3.7326E-03  0.1107
   4.6416E+01   5.0119E+01   3.3012E-03  0.1294
   5.0119E+01   5.4117E+01   2.9827E-03  0.1463
   5.4117E+01   5.8434E+01   2.7070E-03  0.1638
   5.8434E+01   6.3096E+01   2.4642E-03  0.1826
   6.3096E+01   6.8129E+01   2.1906E-03  0.2018
   6.8129E+01   7.3564E+01   1.9522E-03  0.2302
   7.3564E+01   7.9433E+01   1.8828E-03  0.2571
   7.9433E+01   8.5770E+01   1.7868E-03  0.2844
   8.5770E+01   9.2612E+01   1.5804E-03  0.3211
   9.2612E+01   1.0000E+02   1.1723E-03  0.3699
   1.0000E+02   1.0798E+02   6.1679E-04  0.4624
   1.0798E+02   1.1659E+02   1.9451E-04  0.6452
   1.1659E+02   1.2589E+02   2.7195E-05  0.5652
   1.2589E+02   1.3594E+02   1.3147E-05  0.6795
   1.3594E+02   1.4678E+02   1.5857E-05  0.7083
   1.4678E+02   1.5849E+02   1.9947E-05  0.7089
   1.5849E+02   1.7113E+02   2.5112E-05  0.7089
   1.7113E+02   1.8478E+02   3.1614E-05  0.7089
   1.8478E+02   1.9953E+02   3.9800E-05  0.7089
   1.9953E+02   2.1544E+02   5.0105E-05  0.7089
   2.1544E+02   2.3263E+02   6.3079E-05  0.7089
   2.3263E+02   2.5119E+02   7.9412E-05  0.7089
   2.5119E+02   2.7123E+02   9.9973E-05  0.7089
   2.7123E+02   2.9286E+02   1.2586E-04  0.7089
   2.9286E+02   3.1623E+02   1.5845E-04  0.7089
   3.1623E+02   3.4145E+02   1.9947E-04  0.7089
   3.4145E+02   3.6869E+02   2.5112E-04  0.7089
   3.6869E+02   3.9811E+02   3.1614E-04  0.7089
   3.9811E+02   4.2987E+02   3.9800E-04  0.7089
   4.2987E+02   4.6416E+02   5.0105E-04  0.7089
   4.6416E+02   5.0119E+02   6.3079E-04  0.7089
   5.0119E+02   5.4117E+02   7.9412E-04  0.7089
   5.4117E+02   5.8434E+02   9.9966E-04  0.7089
   5.8434E+02   6.3096E+02   1.2546E-03  0.7087
   6.3096E+02   6.8129E+02   1.4702E-03  0.7071
   6.8129E+02   7.3564E+02   1.5174E-03  0.7242
   7.3564E+02   7.9433E+02   1.4988E-03  0.8092
   7.9433E+02   8.5770E+02   1.4999E-03  0.9769
   8.5770E+02   9.2612E+02   1.5975E-03  0.9999
   9.2612E+02   1.0000E+03   1.3073E-03  1.0000
   1.0000E+03   1.0798E+03   7.4643E-04  1.0000
   1.0798E+03   1.1659E+03   4.9840E-05  1.0000
   1.1659E+03   1.2589E+03   4.1289E-08  1.0000
   1.2589E+03   1.3594E+03   0.0000E+00  0.0000
   1.3594E+03   1.4678E+03   0.0000E+00  0.0000
   1.4678E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7113E+03   0.0000E+00  0.0000
   1.7113E+03   1.8478E+03   0.0000E+00  0.0000
   1.8478E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.1544E+03   0.0000E+00  0.0000
   2.1544E+03   2.3263E+03   0.0000E+00  0.0000
   2.3263E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.7123E+03   0.0000E+00  0.0000
   2.7123E+03   2.9286E+03   0.0000E+00  0.0000
   2.9286E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.4145E+03   0.0000E+00  0.0000
   3.4145E+03   3.6869E+03   0.0000E+00  0.0000
   3.6869E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.2987E+03   0.0000E+00  0.0000
   4.2987E+03   4.6416E+03   0.0000E+00  0.0000
   4.6416E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.4117E+03   0.0000E+00  0.0000
   5.4117E+03   5.8434E+03   0.0000E+00  0.0000
   5.8434E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   6.8129E+03   0.0000E+00  0.0000
   6.8129E+03   7.3564E+03   0.0000E+00  0.0000
   7.3564E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.5770E+03   0.0000E+00  0.0000
   8.5770E+03   9.2612E+03   0.0000E+00  0.0000
   9.2612E+03   1.0000E+04   0.0000E+00  0.0000

#               Dose mean    7.8610E+00

'no. =  1,  reg  =      1'
msuc: {\huge microdosimetric_spectra_water_photon_PHITS}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.32}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+06 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
